form_key	editor_id	field	source	target	provenance
005998:Dawnguard.esm	DLC1PowerOfTheGrave	DESC	50 point bonus to Health, Magicka, and Stamina as a Vampire Lord.	轉化成吸血鬼貴族時增加 50 點的生命、法力與耐力。	Skyrim Traditional Chinese 8.20 record mapping
00599B:Dawnguard.esm	DLC1DetectLifePerk	FULL	Detect All Creatures	萬物感知術	Skyrim Traditional Chinese 8.20 record mapping
00599B:Dawnguard.esm	DLC1DetectLifePerk	DESC	Night Power: Detect all creatures, even Dwarven automatons.	夜間能力：感知萬物，包含矮人機械。	Skyrim Traditional Chinese 8.20 record mapping
00599C:Dawnguard.esm	DLC1MistFormPerk	FULL	Mist Form	化霧型態	Skyrim Traditional Chinese 8.20 record mapping
00599C:Dawnguard.esm	DLC1MistFormPerk	DESC	Night Power: Transform into an invulnerable mist, while Health, Magicka, and Stamina regenerate.	夜間能力：幻化成無法捉摸的霧團，並逐步回復生命、法力、耐力。	Skyrim Traditional Chinese 8.20 record mapping
0059A5:Dawnguard.esm	DLC1AnimalVigorPerk	FULL	Animal Vigor	野性精力	Skyrim Traditional Chinese 8.20 record mapping
0059A5:Dawnguard.esm	DLC1AnimalVigorPerk	DESC	100 point bonus to Health and Stamina in beast form.	獸化狀態下增加 100 點的生命與耐力。	Skyrim Traditional Chinese 8.20 record mapping
0059A7:Dawnguard.esm	DLC1GorgingPerk	FULL	Gorging	同類獵食	Skyrim Traditional Chinese 8.20 record mapping
0059A7:Dawnguard.esm	DLC1GorgingPerk	DESC	Feeding heals twice as much Health.	可藉由啃食人類遺體來恢復兩倍的生命。	Skyrim Traditional Chinese 8.20 record mapping
017740:Dragonborn.esm	DLC2wardAbsorbNPC	FULL	NPC Ward Absorb	NPC 結界吸收	USSEP 4.3.8a custom Traditional Chinese
017740:Dragonborn.esm	DLC2wardAbsorbNPC	DESC	Wards recharge your Magicka when hit with spells.	結界被法術擊中時將轉而恢復你的法力。	Skyrim Traditional Chinese 8.20 record mapping
024109:Dragonborn.esm	DLC2MatchingSet	FULL	Matching Set	體裝合一	Skyrim Traditional Chinese 8.20 record mapping
024109:Dragonborn.esm	DLC2MatchingSet	DESC	Additional 25% Armor bonus if wearing a matched set of Light Armor.	裝備整套輕甲時獲得額外 25% 護具防禦力。	Skyrim Traditional Chinese 8.20 record mapping
02410A:Dragonborn.esm	DLC2MatchingSetHeavy	FULL	Matching Set	體裝合一	Skyrim Traditional Chinese 8.20 record mapping
02410A:Dragonborn.esm	DLC2MatchingSetHeavy	DESC	Additional 25% Armor bonus if wearing a matched set of Heavy Armor.	裝備整套重甲時獲得額外 25% 護具防禦力。	Skyrim Traditional Chinese 8.20 record mapping
0250E8:Dragonborn.esm	DLC2AcolyteMaskAugmentFrost	FULL	Dukaan's Fury	度坎之怒	Skyrim Traditional Chinese 8.20 adapted to USSEP 4.3.8a
0250E8:Dragonborn.esm	DLC2AcolyteMaskAugmentFrost	DESC	Frost spells do 25% more damage.	寒霜法術可以造成 25% 額外傷害。	Skyrim Traditional Chinese 8.20 record mapping
0250E9:Dragonborn.esm	DLC2AcolyteMaskAugmentShock	FULL	Zahkriisos' Ire	薩克里斯之怒	Skyrim Traditional Chinese 8.20 adapted to USSEP 4.3.8a
0250E9:Dragonborn.esm	DLC2AcolyteMaskAugmentShock	DESC	Shock spells do 25% more damage.	閃電法術可以造成 25% 額外傷害。	Skyrim Traditional Chinese 8.20 record mapping
027330:Dragonborn.esm	DLC2dunKolbjornGauntletsPerk	FULL	Ahzidal's Warding	阿季達的結界術	Skyrim Traditional Chinese 8.20 record mapping
027330:Dragonborn.esm	DLC2dunKolbjornGauntletsPerk	DESC	Your Wards are <25>% less effective, but absorb <50>% of the Magicka from incoming spells.	你的結界效果減弱 <25>%，但可從任何擊中你的法術吸收 <50>% 法力。	Skyrim Traditional Chinese 8.20 record mapping
000854:ccbgssse037-curios.esl	ccBGSSSE037_SilverboltPerk	FULL	Silverbolt Perk	銀矢特技	USSEP 4.3.8a custom Traditional Chinese
000854:ccbgssse037-curios.esl	ccBGSSSE037_SilverboltPerk	DESC	Silver damage against werewolves and the undead.	對狼人與不死生物造成銀製武器傷害。	USSEP 4.3.8a custom Traditional Chinese
